################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -8.9541751319254175E+00 a       156     0     8     1    16
  1.1100401481743036E+01 a       157     0     8     1    17
  3.3503255435794044E-01 a       158     0     8     1    18
  1.4456086352396518E+00 a       159     0     8     1    19
  9.3251014531334497E-01 a       160     0     8     1    20
  1.4522985507106503E+00 a       161     0     9     1     1
  1.1921510159540409E+00 a       162     0     9     1     2
 -9.2432694085608336E-01 a       163     0     9     1     3
 -3.8118962553473570E+00 a       164     0     9     1     4
 -3.4392410413273211E+00 a       165     0     9     1     5
 -2.8861046062652100E+00 a       166     0     9     1     6
  8.3982342916840995E+00 a       167     0     9     1     7
  8.0927566454676558E-01 a       168     0     9     1     8
  4.1011753085492932E+00 a       169     0     9     1     9
 -6.8310511946803869E+00 a       170     0     9     1    10
  1.4810868203417027E+00 a       171     0     9     1    11
  2.9201120056337753E+00 a       172     0     9     1    12
  1.2071966418585083E+00 a       173     0     9     1    13
 -1.0454854227332298E+01 a       174     0     9     1    14
 -1.9048686618209045E+00 a       175     0     9     1    15
  4.3773377841960466E+00 a       176     0     9     1    16
 -9.2532037847504114E+00 a       177     0     9     1    17
 -7.1541739181125337E+00 a       178     0     9     1    18
  2.9520685214832101E+00 a       179     0     9     1    19
 -2.3891140215930058E+00 a       180     0     9     1    20
 -2.2180681508835642E-01 a       181     0    10     1     1
 -1.0014613755463799E+00 a       182     0    10     1     2
 -2.2368993025680335E+00 a       183     0    10     1     3
 -7.9108581521255095E-01 a       184     0    10     1     4
 -8.1692708226733479E-01 a       185     0    10     1     5
 -3.0756953470587056E-01 a       186     0    10     1     6
 -3.1673961861938094E+00 a       187     0    10     1     7
 -6.1311350656347530E-01 a       188     0    10     1     8
  4.6821819021007355E-01 a       189     0    10     1     9
  7.0201087633551063E-01 a       190     0    10     1    10
  7.1235035908108946E-01 a       191     0    10     1    11
  1.3685713262544046E+00 a       192     0    10     1    12
  7.9239347057614395E-01 a       193     0    10     1    13
 -3.2743888245022507E-01 a       194     0    10     1    14
 -2.9139755596324940E-01 a       195     0    10     1    15
 -2.2016052088450628E+00 a       196     0    10     1    16
  3.7881520035900453E+00 a       197     0    10     1    17
  7.5647007959389750E-02 a       198     0    10     1    18
  4.0162417869934547E-01 a       199     0    10     1    19
  3.7395458885820504E-01 a       200     0    10     1    20
  1.4179757752796038E+00 a       201     0    11     1     1
  3.2444853565747160E+00 a       202     0    11     1     2
  3.2351778541821674E+00 a       203     0    11     1     3
 -4.5504237260323519E+00 a       204     0    11     1     4
 -3.7831814595545623E+00 a       205     0    11     1     5
 -8.0479836516639369E-01 a       206     0    11     1     6
  5.0718779141946246E+00 a       207     0    11     1     7
  1.5912850226669588E+00 a       208     0    11     1     8
  3.3651718579125527E+00 a       209     0    11     1     9
 -5.9598714326348201E+00 a       210     0    11     1    10
  1.6377614341456708E+00 a       211     0    11     1    11
  1.3726129584244628E+00 a       212     0    11     1    12
  5.7541215003012458E-01 a       213     0    11     1    13
 -1.1133250072524723E+01 a       214     0    11     1    14
 -2.9984945251906927E+00 a       215     0    11     1    15
  4.3371523590837526E+00 a       216     0    11     1    16
 -7.3229444166178048E+00 a       217     0    11     1    17
 -1.3465137532431754E+01 a       218     0    11     1    18
  3.0279585802251767E+00 a       219     0    11     1    19
 -3.7247265000693175E+00 a       220     0    11     1    20
 -2.6174085761073065E-02 a       221     0    12     1     1
 -2.6736680388195211E-01 a       222     0    12     1     2
 -5.0180082737952880E-01 a       223     0    12     1     3
 -1.4694180154402600E-01 a       224     0    12     1     4
 -1.1172027567093851E-01 a       225     0    12     1     5
 -1.1957610668334812E-01 a       226     0    12     1     6
 -7.2116831349298394E-01 a       227     0    12     1     7
 -1.4477552874629748E-01 a       228     0    12     1     8
  5.8055199389474919E-02 a       229     0    12     1     9
  1.9760388468288298E-01 a       230     0    12     1    10
  1.8111571504720014E-01 a       231     0    12     1    11
  3.9134873957391320E-01 a       232     0    12     1    12
  1.7347918782944721E-01 a       233     0    12     1    13
  1.2843286214947963E-01 a       234     0    12     1    14
 -7.7714010028617803E-02 a       235     0    12     1    15
 -4.9743304695172957E-01 a       236     0    12     1    16
  5.8713138969412260E-01 a       237     0    12     1    17
 -4.6845603032224452E-02 a       238     0    12     1    18
  9.4140358853757850E-02 a       239     0    12     1    19
  1.5606257751046404E-01 a       240     0    12     1    20
  5.3966993097915761E-01 a       241     0    13     1     1
  2.1161437573594255E+00 a       242     0    13     1     2
  3.0125885143616045E+00 a       243     0    13     1     3
 -2.3894658098441997E+00 a       244     0    13     1     4
 -2.0637932673702140E+00 a       245     0    13     1     5
 -3.5251362768071434E-02 a       246     0    13     1     6
  1.4796834901804461E+00 a       247     0    13     1     7
  8.9830759227612000E-01 a       248     0    13     1     8
  1.4566928698630794E+00 a       249     0    13     1     9
 -2.7262218957731861E+00 a       250     0    13     1    10
  8.7412378152491765E-01 a       251     0    13     1    11
 -4.0232065987209187E-02 a       252     0    13     1    12
 -2.0146744285278456E-01 a       253     0    13     1    13
 -5.6783394219075651E+00 a       254     0    13     1    14
 -2.2725834485843319E+00 a       255     0    13     1    15
  1.3405087751730391E+00 a       256     0    13     1    16
 -3.2474825323707250E+00 a       257     0    13     1    17
 -8.6852098391894206E+00 a       258     0    13     1    18
  1.8966481320623416E+00 a       259     0    13     1    19
 -2.4244019966148649E+00 a       260     0    13     1    20
  4.6609070373605947E-02 a       261     0    14     1     1
 -1.1298466522035273E-02 a       262     0    14     1     2
 -4.4147559459876262E-01 a       263     0    14     1     3
 -2.4700479659579391E-01 a       264     0    14     1     4
 -5.6621799497297265E-01 a       265     0    14     1     5
  2.4195090909099010E-01 a       266     0    14     1     6
  1.4294097426713492E+00 a       267     0    14     1     7
 -3.6505580611601904E-02 a       268     0    14     1     8
  4.4142184677124940E-02 a       269     0    14     1     9
  1.8250086054957959E-01 a       270     0    14     1    10
  4.9009727526183725E-02 a       271     0    14     1    11
  1.3442844996620409E-01 a       272     0    14     1    12
 -2.9934954387433347E-03 a       273     0    14     1    13
 -1.2794725077062841E+00 a       274     0    14     1    14
  4.3566840332954609E-01 a       275     0    14     1    15
  1.3811116206943597E+00 a       276     0    14     1    16
  2.7775922796634156E-01 a       277     0    14     1    17
 -1.6623480333338378E-01 a       278     0    14     1    18
 -1.2916611569215347E-01 a       279     0    14     1    19
 -1.9893787853216649E-01 a       280     0    14     1    20
 -4.1589028998042057E+00 a       281     0    15     1     1
  8.1602798358878044E+00 a       282     0    15     1     2
  3.1603289429823839E+01 a       283     0    15     1     3
 -1.4880702536444197E+01 a       284     0    15     1     4
  6.0144027867048289E+00 a       285     0    15     1     5
  9.9352172077106378E+00 a       286     0    15     1     6
  3.8464082899656475E+01 a       287     0    15     1     7
  1.1611461875318318E+01 a       288     0    15     1     8
 -6.3242103011566648E+00 a       289     0    15     1     9
 -5.5769791279163385E+01 a       290     0    15     1    10
 -1.0369687348877816E+01 a       291     0    15     1    11
 -2.1599792402525463E+01 a       292     0    15     1    12
 -7.4276480910848097E-01 a       293     0    15     1    13
  3.0952630337587784E+01 a       294     0    15     1    14
 -3.3251201627291941E+01 a       295     0    15     1    15
  3.4841614696660528E+01 a       296     0    15     1    16
 -2.3206766366817799E+01 a       297     0    15     1    17
  1.0769324868710557E+01 a       298     0    15     1    18
 -5.1982544857978672E+00 a       299     0    15     1    19
  9.7639674997061352E+00 a       300     0    15     1    20
 -3.7370362342731861E-01 a       301     0    16     1     1
  8.2495323846867556E+00 a       302     0    16     1     2
  3.1398065341267274E+00 a       303     0    16     1     3
  1.0286303987696812E+00 a       304     0    16     1     4
 -7.4825985617786250E-01 a       305     0    16     1     5
  8.4086777945851154E-01 a       306     0    16     1     6
 -5.2375597523370141E+00 a       307     0    16     1     7
  7.8884213241807688E-01 a       308     0    16     1     8
  3.4806825237355443E-01 a       309     0    16     1     9
 -8.4463513403175949E-01 a       310     0    16     1    10
 -1.9779042154766906E+00 a       311     0    16     1    11
 -1.7348723008139875E+00 a       312     0    16     1    12
  2.2649007450463765E+00 a       313     0    16     1    13
 -2.7862517402079994E+00 a       314     0    16     1    14
 -4.4105152349939019E+00 a       315     0    16     1    15
  5.1522348089086387E+00 a       316     0    16     1    16
 -1.0326939006477307E+00 a       317     0    16     1    17
 -8.1016904980169961E+00 a       318     0    16     1    18
 -1.9027254551912973E+00 a       319     0    16     1    19
  2.0642659852304828E+00 a       320     0    16     1    20
  4.4939117322822708E-01 a       321     0    17     1     1
 -1.1385138382815880E+00 a       322     0    17     1     2
 -6.4776150993861725E-01 a       323     0    17     1     3
  3.3960468000152448E-02 a       324     0    17     1     4
  1.2250203225849459E+00 a       325     0    17     1     5
 -1.1418272761950961E-01 a       326     0    17     1     6
  2.9353072114788770E+00 a       327     0    17     1     7
 -8.9850830034362960E-03 a       328     0    17     1     8
 -6.2668770404018759E-01 a       329     0    17     1     9
  2.9250337281235526E+00 a       330     0    17     1    10
 -8.0073642185173466E-01 a       331     0    17     1    11
 -2.2328545637962911E+00 a       332     0    17     1    12
 -8.7507475918447664E-01 a       333     0    17     1    13
 -7.2080846113767222E-02 a       334     0    17     1    14
  3.2957848243593529E-01 a       335     0    17     1    15
  9.2711697895410239E-01 a       336     0    17     1    16
 -7.0832265005704942E-01 a       337     0    17     1    17
  3.4199387166529960E-01 a       338     0    17     1    18
 -1.1384836903861582E+00 a       339     0    17     1    19
  1.9391889523968520E+00 a       340     0    17     1    20
  3.1442327031332246E-01 a       341     0    18     1     1
