################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         21   1.7176299791649665E-02   1.3705978558415106E+00   4.5044727481985131E-01   1.7941061102558636E-01
         2         22   5.2379526169886648E-07   9.9581240298125229E-01   3.2554686459365784E-01   1.5984078112828501E-01
         2         23   2.6022531097024230E-02   1.9419008273797693E+00   1.1329347614830740E+00   2.7365739092194197E-01
         2         24   2.4629668359893182E-04   1.4787387211429521E+00   6.2090706290093711E-01   2.2141204690837094E-01
         2         25   2.2906200971624848E-08   6.7045131952671977E-01   9.2095918990425588E-02   8.0685321533492754E-02
         2         26   1.8801383669423513E+00   8.2453258104147658E+00   6.1863412283647410E+00   9.5024534265848304E-01
         2         27   6.7173933280958442E-01   3.7351491056973920E+00   2.7298869015083915E+00   4.7042217383770157E-01
         2         28   1.7314805946833636E-01   7.6061396936026127E-01   5.5168269504166645E-01   8.9817620744526719E-02
         2         29   7.6039996910806054E-02   3.6176495239251755E-01   2.7020266642896046E-01   3.8266903733280497E-02
         2         30   3.7095449676306214E-01   1.7317731678696777E+00   1.2651695698921830E+00   2.0491742055777626E-01
         2         31   1.4522744116341232E-01   9.3108296491049802E-01   6.7336350962764902E-01   1.2327853572420848E-01
         2         32   6.0260051452258112E-01   2.4521415220091964E+00   1.8647692609635034E+00   2.7794601943512515E-01
         2         33   1.6128214146193573E-01   1.6501277415159663E+00   9.9204038036306896E-01   2.1728620175163696E-01
         2         34   6.0456545708985698E-01   3.4152431302658215E+00   2.2724653075664007E+00   3.6209580967062288E-01
         2         35   1.2008675354920741E-01   1.5999905841854940E+00   9.0491088951915977E-01   1.9180194772078421E-01
         2         36   3.3598643585391802E-01   3.4158433949867217E+00   2.3300271555823904E+00   4.3505824925511266E-01
         2         37   1.2729845612703977E-01   1.7610180366713504E+00   8.9515589596422374E-01   1.6303193392259907E-01
         2         38   7.1339680061183616E-02   3.3033436262593980E+00   1.7558482648702305E+00   4.5983789260333696E-01
         2         39   8.9921305681336591E-02   2.3181076364700006E+00   1.2770548022461097E+00   2.6272065929606908E-01
         2         40   9.3942780554029347E-03   2.2661409401910855E+00   9.5133140926248416E-01   2.9979351180070191E-01
         2         41   1.4508710987108828E-03   2.3128727537490845E+00   1.2046162252438906E+00   3.9442696545396427E-01
         2         42   5.1821093753045021E-02   2.3662646925809874E+00   1.0689732648548806E+00   3.1058298928527606E-01
         2         43   8.9911152443290232E-13   7.8079551717913687E-01   6.3038178835424771E-02   8.3380843700628843E-02
         2         44   4.2605989632993368E-05   3.0496857052702130E-02   1.1115582135140819E-02   4.3649760985104494E-03
         2         45   8.0640757413845185E-05   5.8855821411801637E-02   1.8653600412613169E-02   7.8929201225524850E-03
         2         46   2.1514070466989371E-06   3.6381941115534916E-02   1.0330381504760247E-02   4.9268655024375906E-03
         2         47   1.3348957300715818E-02   4.2272689178294254E-01   2.0651471521916157E-01   6.0757227681003417E-02
         2         48   1.8434176905069329E-03   2.3877062555121825E-01   1.0699392862750985E-01   3.8956384525569182E-02
         2         49   2.6857065700068218E-02   8.6857566646879003E-01   4.1991273586330274E-01   1.3350411509760080E-01
         2         50   1.5951710054252947E-02   7.7966418419435168E-01   3.8942835049819297E-01   1.2806625592978133E-01
         2         51   3.4311569683541452E-04   1.0080309423751053E-01   3.9878544071124768E-02   1.7215206565359593E-02
         2         52   9.8057298107948505E-03   4.3822844134545952E-01   2.0157977471883071E-01   6.8404638315235147E-02
         2         53   1.2611795460327683E-02   4.7975350808608225E-01   2.4603975425572469E-01   7.8834031456680304E-02
         2         54   3.6067995722822573E-05   3.0342683821880313E-02   9.8905766906410199E-03   4.6835707262418711E-03
         2         55   2.2661005026378112E-03   1.2158006194472100E-01   5.0631549050362754E-02   1.9433520367828382E-02
         2         56   6.8349612055994035E-03   1.6061522319009933E-01   8.7157848764366219E-02   2.6871302061763549E-02
